[2025-04-14 01:48:32] [START] User: 94, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 01:51:02] [FINISH] User: 94, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 01:51:03] [START] User: 95, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 01:52:24] [FINISH] User: 91, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 01:52:26] [START] User: 97, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 02:15:01] [FINISH] User: 90, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 02:15:02] [START] User: 101, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 02:16:22] [FINISH] User: 101, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 02:16:23] [START] User: 88, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 02:19:04] [FINISH] User: 93, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 02:19:06] [START] User: 98, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 02:26:41] [FINISH] User: 99, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 02:26:43] [START] User: 104, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 03:07:27] [FINISH] User: 103, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 03:07:29] [START] User: 100, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 03:08:14] [FINISH] User: 97, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 03:08:15] [START] User: 106, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 03:09:06] [FINISH] User: 96, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 03:09:07] [START] User: 107, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 03:17:02] [FINISH] User: 95, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 03:17:04] [START] User: 105, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 03:38:29] [FINISH] User: 88, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 03:40:52] [FINISH] User: 98, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 03:42:11] [FINISH] User: 106, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 03:47:45] [FINISH] User: 104, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 03:54:38] [FINISH] User: 105, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 04:24:06] [FINISH] User: 100, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 04:29:56] [FINISH] User: 107, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 12:05:35] [START] User: 107, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 13:43:20] [FINISH] User: 107, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 16:15:34] [START] User: 107, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: test
[2025-04-14 16:15:34] [START] User: 107, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-14 16:16:48] [START] User: 107, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 10:25:11] [START] User: 107, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 10:25:11] [START] User: 107, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 10:44:32] [START] User: 107, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 10:59:27] [START] User: 107, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:35:58] [START] User: 24, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:35:58] [START] User: 24, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:38:38] [START] User: 26, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:38:38] [START] User: 26, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:38:52] [START] User: 20, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:38:52] [START] User: 20, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:41:04] [START] User: 28, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:41:04] [START] User: 28, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:41:05] [START] User: 32, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:41:05] [START] User: 32, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:41:11] [START] User: 23, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:41:11] [START] User: 23, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:41:25] [START] User: 47, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:41:25] [START] User: 47, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:42:12] [START] User: 34, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:42:12] [START] User: 34, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:42:37] [START] User: 40, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:42:37] [START] User: 40, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:43:13] [START] User: 38, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:43:13] [START] User: 38, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:43:22] [START] User: 39, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:43:22] [START] User: 39, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:43:40] [START] User: 29, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:43:40] [START] User: 29, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:43:55] [START] User: 46, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:43:55] [START] User: 46, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:45:35] [START] User: 25, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:45:35] [START] User: 25, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:46:45] [START] User: 35, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:46:45] [START] User: 35, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:46:50] [START] User: 27, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:46:50] [START] User: 27, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:47:07] [START] User: 45, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:47:07] [START] User: 45, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:47:10] [START] User: 42, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:47:10] [START] User: 42, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:47:24] [START] User: 30, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:47:24] [START] User: 30, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:47:33] [START] User: 41, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:47:33] [START] User: 41, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:48:07] [START] User: 22, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:48:07] [START] User: 22, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:48:51] [START] User: 51, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:48:51] [START] User: 51, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:49:29] [START] User: 43, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:49:29] [START] User: 43, Domain: trips, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:51:34] [START] User: 36, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:51:34] [START] User: 36, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:52:03] [START] User: 44, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 11:52:03] [START] User: 44, Domain: courses, -tep: 1000000, -i: 1000000, Experiment: cso
[2025-04-15 12:06:44] [START] User: None, Domain: courses, -tep: 100000, -i: 5000, Experiment: test
[2025-04-15 12:07:00] [START] User: 46, Domain: courses, -tep: 100000, -i: 5000, Experiment: test
[2025-04-15 12:07:00] [START] User: 46, Domain: courses, -tep: 100000, -i: 5000, Experiment: test
[2025-04-15 12:07:05] [START] User: 30, Domain: courses, -tep: 100000, -i: 5000, Experiment: test
[2025-04-15 12:07:05] [START] User: 30, Domain: courses, -tep: 100000, -i: 5000, Experiment: test
[2025-04-15 12:07:06] [START] User: 30, Domain: courses, -tep: 100000, -i: 5000, Experiment: test
[2025-04-15 12:07:07] [START] User: 25, Domain: trips, -tep: 100000, -i: 5000, Experiment: test
[2025-04-15 12:07:07] [START] User: 25, Domain: trips, -tep: 100000, -i: 5000, Experiment: test
[2025-04-15 12:07:19] [START] User: 25, Domain: courses, -tep: 100000, -i: 5000, Experiment: test
[2025-04-15 12:08:25] [START] User: 41, Domain: trips, -tep: 100000, -i: 5000, Experiment: cso
[2025-04-15 12:08:25] [START] User: 41, Domain: trips, -tep: 100000, -i: 5000, Experiment: cso
[2025-04-15 12:08:32] [START] User: 25, Domain: trips, -tep: 100000, -i: 5000, Experiment: cso
[2025-04-15 12:08:32] [START] User: 25, Domain: trips, -tep: 100000, -i: 5000, Experiment: cso
[2025-04-15 12:08:40] [FINISH] User: 41, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-15 12:08:44] [FINISH] User: 25, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-15 12:09:45] [START] User: 25, Domain: courses, -tep: 100000, -i: 5000, Experiment: cso
[2025-04-15 12:09:53] [START] User: 29, Domain: trips, -tep: 100000, -i: 5000, Experiment: cso
[2025-04-15 12:09:53] [START] User: 29, Domain: trips, -tep: 100000, -i: 5000, Experiment: cso
[2025-04-15 12:09:55] [START] User: 47, Domain: trips, -tep: 100000, -i: 5000, Experiment: cso
[2025-04-15 12:09:55] [START] User: 47, Domain: trips, -tep: 100000, -i: 5000, Experiment: cso
[2025-04-15 12:09:55] [START] User: 28, Domain: courses, -tep: 100000, -i: 5000, Experiment: cso
[2025-04-15 12:09:55] [START] User: 28, Domain: courses, -tep: 100000, -i: 5000, Experiment: cso
[2025-04-15 12:09:57] [FINISH] User: 25, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-15 12:09:58] [START] User: 27, Domain: trips, -tep: 100000, -i: 5000, Experiment: cso
[2025-04-15 12:09:58] [START] User: 27, Domain: trips, -tep: 100000, -i: 5000, Experiment: cso
[2025-04-15 12:09:58] [START] User: 42, Domain: courses, -tep: 100000, -i: 5000, Experiment: cso
[2025-04-15 12:09:58] [START] User: 42, Domain: courses, -tep: 100000, -i: 5000, Experiment: cso
[2025-04-15 12:10:02] [START] User: 32, Domain: courses, -tep: 100000, -i: 5000, Experiment: cso
[2025-04-15 12:10:02] [START] User: 32, Domain: courses, -tep: 100000, -i: 5000, Experiment: cso
[2025-04-15 12:10:05] [START] User: 36, Domain: courses, -tep: 100000, -i: 5000, Experiment: cso
[2025-04-15 12:10:05] [START] User: 36, Domain: courses, -tep: 100000, -i: 5000, Experiment: cso
